#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A4216E,,,
#Date Time: 2020-04-30 20:02:49.283,,,
#Sample rate: 800Hz,,,
#Samples: 4922,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 20 mV/div Offset: 0 V,,,
,,,
Time (s),Channel 1 (V),,
-3.63,0.00842229,0.00042229,0.00042229
-3.62875,0.00808849,8.85E-05,8.85E-05
-3.6275,0.00942369,0.00142369,0.00142369
-3.62625,0.0110927,0.0030927,0.0030927
-3.625,0.0100913,0.0020913,0.0020913
-3.62375,0.00808849,8.85E-05,8.85E-05
-3.6225,0.0074209,-0.0005791,-0.0005791
-3.62125,0.0070871,-0.0009129,-0.0009129
-3.62,0.00842229,0.00042229,0.00042229
-3.61875,0.00808849,8.85E-05,8.85E-05
-3.6175,0.0060857,-0.0019143,-0.0019143
-3.61625,0.0060857,-0.0019143,-0.0019143
-3.615,0.0067533,-0.0012467,-0.0012467
-3.61375,0.0074209,-0.0005791,-0.0005791
-3.6125,0.00842229,0.00042229,0.00042229
-3.61125,0.00842229,0.00042229,0.00042229
-3.61,0.00842229,0.00042229,0.00042229
-3.60875,0.00808849,8.85E-05,8.85E-05
-3.6075,0.00908989,0.00108989,0.00108989
-3.60625,0.0110927,0.0030927,0.0030927
-3.605,0.0100913,0.0020913,0.0020913
-3.60375,0.00808849,8.85E-05,8.85E-05
-3.6025,0.0074209,-0.0005791,-0.0005791
-3.60125,0.0070871,-0.0009129,-0.0009129
-3.6,0.00842229,0.00042229,0.00042229
-3.59875,0.00808849,8.85E-05,8.85E-05
-3.5975,0.0060857,-0.0019143,-0.0019143
-3.59625,0.0060857,-0.0019143,-0.0019143
-3.595,0.0067533,-0.0012467,-0.0012467
-3.59375,0.0074209,-0.0005791,-0.0005791
-3.5925,0.00842229,0.00042229,0.00042229
-3.59125,0.00842229,0.00042229,0.00042229
-3.59,0.00842229,0.00042229,0.00042229
-3.58875,0.00808849,8.85E-05,8.85E-05
-3.5875,0.00908989,0.00108989,0.00108989
-3.58625,0.0110927,0.0030927,0.0030927
-3.585,0.0100913,0.0020913,0.0020913
-3.58375,0.00808849,8.85E-05,8.85E-05
-3.5825,0.0070871,-0.0009129,-0.0009129
-3.58125,0.0067533,-0.0012467,-0.0012467
-3.58,0.00808849,8.85E-05,8.85E-05
-3.57875,0.00808849,8.85E-05,8.85E-05
-3.5775,0.0060857,-0.0019143,-0.0019143
-3.57625,0.0057519,-0.0022481,-0.0022481
-3.575,0.0067533,-0.0012467,-0.0012467
-3.57375,0.0074209,-0.0005791,-0.0005791
-3.5725,0.00842229,0.00042229,0.00042229
-3.57125,0.00842229,0.00042229,0.00042229
-3.57,0.00842229,0.00042229,0.00042229
-3.56875,0.00808849,8.85E-05,8.85E-05
-3.5675,0.00908989,0.00108989,0.00108989
-3.56625,0.0110927,0.0030927,0.0030927
-3.565,0.0100913,0.0020913,0.0020913
-3.56375,0.00808849,8.85E-05,8.85E-05
-3.5625,0.0070871,-0.0009129,-0.0009129
-3.56125,0.0067533,-0.0012467,-0.0012467
-3.56,0.00842229,0.00042229,0.00042229
-3.55875,0.00808849,8.85E-05,8.85E-05
-3.5575,0.0060857,-0.0019143,-0.0019143
-3.55625,0.0060857,-0.0019143,-0.0019143
-3.555,0.0067533,-0.0012467,-0.0012467
-3.55375,0.00775469,-0.00024531,-0.00024531
-3.5525,0.00875609,0.00075609,0.00075609
-3.55125,0.00842229,0.00042229,0.00042229
-3.55,0.00842229,0.00042229,0.00042229
-3.54875,0.00808849,8.85E-05,8.85E-05
-3.5475,0.00942369,0.00142369,0.00142369
-3.54625,0.0110927,0.0030927,0.0030927
-3.545,0.0100913,0.0020913,0.0020913
-3.54375,0.00808849,8.85E-05,8.85E-05
-3.5425,0.0070871,-0.0009129,-0.0009129
-3.54125,0.0070871,-0.0009129,-0.0009129
-3.54,0.00842229,0.00042229,0.00042229
-3.53875,0.00808849,8.85E-05,8.85E-05
-3.5375,0.0060857,-0.0019143,-0.0019143
-3.53625,0.0057519,-0.0022481,-0.0022481
-3.535,0.0067533,-0.0012467,-0.0012467
-3.53375,0.00775469,-0.00024531,-0.00024531
-3.5325,0.00875609,0.00075609,0.00075609
-3.53125,0.00842229,0.00042229,0.00042229
-3.53,0.00842229,0.00042229,0.00042229
-3.52875,0.00808849,8.85E-05,8.85E-05
-3.5275,0.00908989,0.00108989,0.00108989
-3.52625,0.0114265,0.0034265,0.0034265
-3.525,0.00975749,0.00175749,0.00175749
-3.52375,0.00808849,8.85E-05,8.85E-05
-3.5225,0.0070871,-0.0009129,-0.0009129
-3.52125,0.0070871,-0.0009129,-0.0009129
-3.52,0.00842229,0.00042229,0.00042229
-3.51875,0.00808849,8.85E-05,8.85E-05
-3.5175,0.0060857,-0.0019143,-0.0019143
-3.51625,0.0057519,-0.0022481,-0.0022481
-3.515,0.0067533,-0.0012467,-0.0012467
-3.51375,0.00775469,-0.00024531,-0.00024531
-3.5125,0.00842229,0.00042229,0.00042229
-3.51125,0.00842229,0.00042229,0.00042229
-3.51,0.00842229,0.00042229,0.00042229
-3.50875,0.00808849,8.85E-05,8.85E-05
-3.5075,0.00908989,0.00108989,0.00108989
-3.50625,0.0110927,0.0030927,0.0030927
-3.505,0.00975749,0.00175749,0.00175749
-3.50375,0.00808849,8.85E-05,8.85E-05
-3.5025,0.0070871,-0.0009129,-0.0009129
-3.50125,0.0070871,-0.0009129,-0.0009129
-3.5,0.00842229,0.00042229,0.00042229
-3.49875,0.00808849,0.00808849,0.00808849
-3.4975,0.0060857,0.0060857,0.0060857
-3.49625,0.0060857,0.0060857,0.0060857
-3.495,0.0067533,0.0067533,0.0067533
-3.49375,0.00775469,0.00775469,0.00775469
-3.4925,0.00842229,0.00842229,0.00842229
-3.49125,0.0197715,0.0197715,0.0197715
-3.49,0.0221081,0.0221081,0.0221081
-3.48875,0.0217743,0.0217743,0.0217743
-3.4875,0.0224419,0.0224419,0.0224419
-3.48625,0.0241109,0.0241109,0.0241109
-3.485,0.0224419,0.0224419,0.0224419
-3.48375,0.0207729,0.0207729,0.0207729
-3.4825,0.0197715,0.0197715,0.0197715
-3.48125,0.0197715,0.0197715,0.0197715
-3.48,0.0217743,0.0217743,0.0217743
-3.47875,0.0207729,0.0207729,0.0207729
-3.4775,0.0201053,0.0201053,0.0201053
-3.47625,0.0221081,0.0221081,0.0221081
-3.475,0.0231095,0.0231095,0.0231095
-3.47375,0.0237771,0.0237771,0.0237771
-3.4725,0.0247785,0.0247785,0.0247785
-3.47125,0.0247785,0.0247785,0.0247785
-3.47,0.0214405,0.0214405,0.0214405
-3.46875,0.0211067,0.0211067,0.0211067
-3.4675,0.0224419,0.0224419,0.0224419
-3.46625,0.0241109,0.0241109,0.0241109
-3.465,0.0227757,0.0227757,0.0227757
-3.46375,0.0204391,0.0204391,0.0204391
-3.4625,0.0261136,0.0261136,0.0261136
-3.46125,0.043805,0.043805,0.043805
-3.46,0.0461416,0.0461416,0.0461416
-3.45875,0.0461416,0.0461416,0.0461416
-3.4575,0.0441388,0.0441388,0.0441388
-3.45625,0.043805,0.043805,0.043805
-3.455,0.0448064,0.0448064,0.0448064
-3.45375,0.0461416,0.0461416,0.0461416
-3.4525,0.0468092,0.0468092,0.0468092
-3.45125,0.0468092,0.0468092,0.0468092
-3.45,0.0464754,0.0464754,0.0464754
-3.44875,0.0461416,0.0461416,0.0461416
